"Tシャツ/カットソー(半袖/袖なし)",1
"Tシャツ/カットソー(七分/長袖)",1
"シャツ/ブラウス(半袖/袖なし)",1
"シャツ/ブラウス(七分/長袖)",1
"ポロシャツ",1
"キャミソール",1
"タンクトップ",1
"ホルターネック",1
"ニット/セーター",1
"チュニック",1
"カーディガン/ボレロ",1
"アンサンブル",1
"ベスト/ジレ",1
"パーカー",1
"テーラードジャケット",2
"ノーカラージャケット",2
"Gジャン/デニムジャケット",2
"レザージャケット",2
"ダウンジャケット",2
"ライダースジャケット",2
"ミリタリージャケット",2
"ダウンベスト",2
"ジャンパー/ブルゾン",2
"ポンチョ",2
"ロングコート",2
"トレンチコート",2
"ダッフルコート",2
"ピーコート",2
"デニム/ジーンズ",3
"ショートパンツ",3
"カジュアルパンツ",3
"ハーフパンツ",3
"チノパン",3
"ワークパンツ/カーゴパンツ",3
"クロップドパンツ",3
"サロペット/オーバーオール",3
"オールインワン",3
"サルエルパンツ",3
"ガウチョパンツ",3
"その他",3
"ミニスカート",4
"ひざ丈スカート",4
"ロングスカート",4
"キュロット",4
"その他",4
"ミニワンピース",5
"ひざ丈ワンピース",5
"ロングワンピース",5
"その他",5
"ハイヒール/パンプス",6
"ブーツ",6
"サンダル",6
"スニーカー",6
"ミュール",6
"モカシン",6
"ローファー/革靴",6
"フラットシューズ/バレエシューズ",6
"長靴/レインシューズ",6
"その他",6
"パジャマ",7
"ルームウェア",7
"ソックス",8
"スパッツ/レギンス",8
"ストッキング/タイツ",8
"レッグウォーマー",8
"その他",8
"ニットキャップ/ビーニー",9
"ハット",9
"ハンチング/ベレー帽",9
"キャップ",9
"キャスケット",9
"麦わら帽子",9
"その他",9
"ハンドバッグ",10
"トートバッグ",10
"エコバッグ",10
"リュック/バックパック",10
"ボストンバッグ",10
"スポーツバッグ",10
"ショルダーバッグ",10
"クラッチバッグ",10
"ポーチ/バニティ",10
"ボディバッグ/ウェストバッグ",10
"マザーズバッグ",10
"メッセンジャーバッグ",10
"ビジネスバッグ",10
"旅行用バッグ/キャリーバッグ",10
"ネックレス",11
"ブレスレット",11
"バングル/リストバンド",11
"リング",11
"ピアス(片耳用)",11
"ピアス(両耳用)",11
"イヤリング",11
"アンクレット",11
"ブローチ/コサージュ",11
"チャーム",11
"その他",11
"ヘアゴム/シュシュ",12
"ヘアバンド/カチューシャ",12
"ヘアピン",12
"その他",12
"長財布",13
"折り財布",13
"コインケース/小銭入れ",13
"名刺入れ/定期入れ",13
"キーケース",13
"キーホルダー",13
"手袋/アームカバー",13
"ハンカチ",13
"ベルト",13
"マフラー/ショール",13
"ストール/スヌード",13
"バンダナ/スカーフ",13
"ネックウォーマー",13
"サスペンダー",13
"腕時計(アナログ)",14
"腕時計(デジタル)",14
"ラバーベルト",14
"レザーベルト",14
"金属ベルト",14
"その他",14
"Tシャツ/カットソー(半袖/袖なし)",15
"Tシャツ/カットソー(七分/長袖)",15
"シャツ",15
"ポロシャツ",15
"タンクトップ",15
"ニット/セーター",15
"パーカー",15
"カーディガン",15
"スウェット",15
"ジャージ",15
"ベスト",15
"その他",15
"テーラードジャケット",16
"ノーカラージャケット",16
"Gジャン/デニムジャケット",16
"レザージャケット",16
"ダウンジャケット",16
"ライダースジャケット",16
"ミリタリージャケット",16
"ナイロンジャケット",16
"フライトジャケット",16
"ダッフルコート",16
"ピーコート",16
"ステンカラーコート",16
"トレンチコート",16
"モッズコート",16
"デニム/ジーンズ",17
"ワークパンツ/カーゴパンツ",17
"スラックス",17
"チノパン",17
"ショートパンツ",17
"ペインターパンツ",17
"サルエルパンツ",17
"オーバーオール",17
"その他",17
"スニーカー",18
"サンダル",18
"ブーツ",18
"モカシン",18
"ドレス/ビジネス",18
"長靴/レインシューズ",18
"デッキシューズ",18
"その他",18
"ショルダーバッグ",19
"トートバッグ",19
"ボストンバッグ",19
"リュック/バックパック",19
"ウエストポーチ",19
"ボディーバッグ",19
"ドラムバッグ",19
"ビジネスバッグ",19
"トラベルバッグ",19
"メッセンジャーバッグ",19
"エコバッグ",19
"その他",19
"スーツジャケット",20
"スーツベスト",20
"スラックス",20
"セットアップ",20
"その他",20
"キャップ",21
"ハット",21
"ニットキャップ/ビーニー",21
"ハンチング/ベレー帽",21
"キャスケット",21
"サンバイザー",21
"その他",21
"ネックレス",22
"ブレスレット",22
"バングル/リストバンド",22
"リング",22
"ピアス(片耳用)",22
"ピアス(両耳用)",22
"アンクレット",22
"その他",22
"長財布",23
"折り財布",23
"マネークリップ",23
"コインケース/小銭入れ",23
"名刺入れ/定期入れ",23
"キーケース",23
"キーホルダー",23
"ネクタイ",23
"手袋",23
"ハンカチ",23
"ベルト",23
"マフラー",23
"ストール",23
"バンダナ",23
"腕時計(アナログ)",24
"腕時計(デジタル)",24
"ラバーベルト",24
"レザーベルト",24
"金属ベルト",24
"その他",24
"一般水着",25
"スポーツ用",25
"アクセサリー",25
"その他",25
"ソックス",26
"レギンス/スパッツ",26
"レッグウォーマー",26
"その他",26
"トランクス",27
"ボクサーパンツ",27
"その他",27
"トップス",29
"アウター",29
"パンツ",29
"スカート",29
"ワンピース",29
"ベビードレス",29
"おくるみ",29
"下着/肌着",29
"パジャマ",29
"ロンパース",29
"その他",29
"トップス",30
"アウター",30
"パンツ",30
"おくるみ",30
